"","ID","sceneInfo","fechas","landsat.names","N_order"
"1","LT05","_001083",2000-09-22,"1_1_LT05_001083_20000922.tif",1
"2","LT05","_001083",2000-10-24,"1_1_LT05_001083_20001024.tif",2
"3","LT05","_001083",2000-12-11,"1_1_LT05_001083_20001211.tif",3
"4","LT05","_001083",2001-01-12,"1_1_LT05_001083_20010112.tif",4
"5","LT05","_001083",2001-01-28,"1_1_LT05_001083_20010128.tif",5
"6","LT05","_001083",2001-02-13,"1_1_LT05_001083_20010213.tif",6
"7","LT05","_001083",2001-03-01,"1_1_LT05_001083_20010301.tif",7
"8","LT05","_001083",2001-03-17,"1_1_LT05_001083_20010317.tif",8
"9","LT05","_001083",2001-04-18,"1_1_LT05_001083_20010418.tif",9
"10","LT05","_001083",2001-05-20,"1_1_LT05_001083_20010520.tif",10
"11","LT05","_001083",2001-06-05,"1_1_LT05_001083_20010605.tif",11
"12","LT05","_001083",2001-06-21,"1_1_LT05_001083_20010621.tif",12
"13","LT05","_001083",2001-07-07,"1_1_LT05_001083_20010707.tif",13
"14","LT05","_001083",2001-08-08,"1_1_LT05_001083_20010808.tif",14
"15","LT05","_001083",2001-11-12,"1_1_LT05_001083_20011112.tif",15
"16","LT05","_001083",2001-11-28,"1_1_LT05_001083_20011128.tif",16
"17","LT05","_001083",2001-12-14,"1_1_LT05_001083_20011214.tif",17
"18","LT05","_001083",2001-12-30,"1_1_LT05_001083_20011230.tif",18
"19","LT05","_001083",2002-01-15,"1_1_LT05_001083_20020115.tif",19
"20","LT05","_001083",2002-01-31,"1_1_LT05_001083_20020131.tif",20
"21","LT05","_001083",2002-02-16,"1_1_LT05_001083_20020216.tif",21
"22","LT05","_001083",2002-03-04,"1_1_LT05_001083_20020304.tif",22
"23","LT05","_001083",2002-03-20,"1_1_LT05_001083_20020320.tif",23
"24","LT05","_001083",2002-04-05,"1_1_LT05_001083_20020405.tif",24
"25","LT05","_001083",2002-04-21,"1_1_LT05_001083_20020421.tif",25
"26","LT05","_001083",2002-07-10,"1_1_LT05_001083_20020710.tif",26
"27","LT05","_001083",2003-06-27,"1_1_LT05_001083_20030627.tif",27
"28","LT05","_001083",2003-07-13,"1_1_LT05_001083_20030713.tif",28
"29","LT05","_001083",2003-08-14,"1_1_LT05_001083_20030814.tif",29
"30","LT05","_001083",2003-08-30,"1_1_LT05_001083_20030830.tif",30
